round,date,hour,home_team,away_team,gols_mandante,gols_visitante
1,29/03/2003,18:00,Guarani/SP,Vasco/RJ,4.0,2.0
1,29/03/2003,18:00,Atlético/PR,Grêmio/RS,2.0,0.0
1,30/03/2003,18:00,Goiás/GO,Paysandu/PA,2.0,2.0
1,30/03/2003,18:00,Corinthians/SP,Atlético/MG,0.0,3.0
1,30/03/2003,16:00,Flamengo/RJ,Coritiba/PR,1.0,1.0
1,30/03/2003,16:00,Criciúma/SC,Fluminense/RJ,2.0,0.0
1,30/03/2003,16:00,Juventude/RS,São Paulo/SP,2.0,2.0
1,30/03/2003,16:00,Fortaleza/CE,Bahia/BA,0.0,0.0
1,30/03/2003,16:00,Vitória/BA,Figueirense/SC,1.0,1.0
1,30/03/2003,16:00,Cruzeiro/MG,São Caetano/SP,2.0,2.0
1,30/03/2003,16:00,Internacional/RS,Ponte Preta/SP,1.0,1.0
1,30/03/2003,16:00,Santos/SP,Paraná/PR,2.0,2.0
1,05/04/2003,16:00,Fluminense/RJ,Fortaleza/CE,1.0,1.0
1,05/04/2003,16:00,Atlético/MG,Santos/SP,0.0,0.0
1,05/04/2003,18:00,Grêmio/RS,Guarani/SP,3.0,1.0
1,05/04/2003,16:00,Coritiba/PR,Internacional/RS,0.0,1.0
1,06/04/2003,16:00,Bahia/BA,Flamengo/RJ,1.0,2.0
1,06/04/2003,18:00,Vasco/RJ,Goiás/GO,6.0,4.0
1,06/04/2003,16:00,Figueirense/SC,Corinthians/SP,3.0,3.0
1,06/04/2003,18:00,São Paulo/SP,Cruzeiro/MG,2.0,4.0
1,06/04/2003,16:00,Paysandu/PA,Vitória/BA,1.0,2.0
1,06/04/2003,16:00,Ponte Preta/SP,Juventude/RS,1.0,0.0
1,06/04/2003,17:00,Paraná/PR,Atlético/PR,3.0,0.0
1,06/04/2003,16:00,São Caetano/SP,Criciúma/SC,3.0,2.0
1,09/04/2003,21:40,Paysandu/PA,Santos/SP,2.0,1.0
1,12/04/2003,16:00,Internacional/RS,Bahia/BA,2.0,0.0
1,12/04/2003,16:00,Atlético/PR,Atlético/MG,1.0,2.0
1,12/04/2003,16:00,Santos/SP,Figueirense/SC,2.0,0.0
1,12/04/2003,18:00,Corinthians/SP,Paysandu/PA,6.0,1.0
1,13/04/2003,18:00,Cruzeiro/MG,Ponte Preta/SP,3.0,0.0
1,13/04/2003,18:00,Flamengo/RJ,Fluminense/RJ,4.0,1.0
1,13/04/2003,16:00,Criciúma/SC,São Paulo/SP,1.0,1.0
1,13/04/2003,16:00,Vitória/BA,Vasco/RJ,2.0,1.0
1,13/04/2003,16:00,Fortaleza/CE,São Caetano/SP,1.0,1.0
1,13/04/2003,16:00,Juventude/RS,Coritiba/PR,2.0,1.0
1,13/04/2003,16:00,Guarani/SP,Paraná/PR,2.0,0.0
1,13/04/2003,16:00,Goiás/GO,Grêmio/RS,1.0,1.0
1,16/04/2003,21:40,São Caetano/SP,Flamengo/RJ,1.0,1.0
1,16/04/2003,21:40,Vasco/RJ,Corinthians/SP,2.0,2.0
1,16/04/2003,20:30,Bahia/BA,Juventude/RS,3.0,1.0
1,16/04/2003,21:40,Grêmio/RS,Vitória/BA,2.0,1.0
1,16/04/2003,21:40,Coritiba/PR,Cruzeiro/MG,3.0,4.0
1,16/04/2003,21:40,Atlético/MG,Guarani/SP,3.0,2.0
1,16/04/2003,21:40,Figueirense/SC,Atlético/PR,1.0,1.0
1,16/04/2003,21:40,Ponte Preta/SP,Criciúma/SC,1.0,1.0
1,17/04/2003,20:30,Fluminense/RJ,Internacional/RS,3.0,1.0
1,17/04/2003,20:30,Paraná/PR,Goiás/GO,3.0,1.0
1,17/04/2003,20:30,São Paulo/SP,Fortaleza/CE,3.0,1.0
1,19/04/2003,18:00,Flamengo/RJ,Santos/SP,0.0,2.0
1,19/04/2003,18:00,São Caetano/SP,Grêmio/RS,1.0,1.0
1,19/04/2003,16:00,Bahia/BA,Atlético/MG,2.0,4.0
1,20/04/2003,16:00,São Paulo/SP,Vasco/RJ,3.0,1.0
1,20/04/2003,18:00,Fluminense/RJ,Paraná/PR,0.0,0.0
1,20/04/2003,18:00,Cruzeiro/MG,Goiás/GO,4.0,1.0
1,20/04/2003,16:00,Internacional/RS,Corinthians/SP,2.0,1.0
1,20/04/2003,16:00,Ponte Preta/SP,Paysandu/PA,4.0,4.0
1,20/04/2003,16:00,Fortaleza/CE,Atlético/PR,1.0,0.0
1,20/04/2003,16:00,Juventude/RS,Vitória/BA,1.0,1.0
1,20/04/2003,16:00,Coritiba/PR,Figueirense/SC,1.0,0.0
1,20/04/2003,16:00,Criciúma/SC,Guarani/SP,1.0,0.0
1,26/04/2003,17:00,Paraná/PR,Bahia/BA,3.0,1.0
1,26/04/2003,18:00,Guarani/SP,Cruzeiro/MG,1.0,1.0
1,26/04/2003,16:00,Vitória/BA,Internacional/RS,0.0,3.0
1,26/04/2003,16:00,Atlético/MG,Coritiba/PR,1.0,2.0
1,27/04/2003,16:00,Grêmio/RS,Fluminense/RJ,0.0,1.0
1,27/04/2003,16:00,Corinthians/SP,Flamengo/RJ,1.0,1.0
1,27/04/2003,18:00,Vasco/RJ,São Caetano/SP,1.0,0.0
1,27/04/2003,16:00,Goiás/GO,Juventude/RS,7.0,0.0
1,27/04/2003,18:00,Paysandu/PA,São Paulo/SP,5.0,1.0
1,27/04/2003,16:00,Santos/SP,Fortaleza/CE,4.0,0.0
1,27/04/2003,16:00,Atlético/PR,Criciúma/SC,5.0,2.0
1,27/04/2003,16:00,Figueirense/SC,Ponte Preta/SP,0.0,0.0
1,03/05/2003,16:00,Flamengo/RJ,Vitória/BA,2.0,1.0
1,03/05/2003,16:00,Bahia/BA,Grêmio/RS,2.0,1.0
1,03/05/2003,18:00,Cruzeiro/MG,Atlético/PR,5.0,2.0
1,04/05/2003,18:00,Fluminense/RJ,Vasco/RJ,0.0,0.0
1,04/05/2003,16:00,Fortaleza/CE,Corinthians/SP,1.0,2.0
1,04/05/2003,16:00,São Paulo/SP,Figueirense/SC,3.0,2.0
1,04/05/2003,16:00,São Caetano/SP,Paysandu/PA,2.0,0.0
1,04/05/2003,16:00,Internacional/RS,Goiás/GO,2.0,1.0
1,04/05/2003,16:00,Ponte Preta/SP,Atlético/MG,2.0,1.0
1,04/05/2003,16:00,Juventude/RS,Guarani/SP,1.0,1.0
1,04/05/2003,16:00,Coritiba/PR,Paraná/PR,2.0,1.0
1,04/05/2003,18:00,Criciúma/SC,Santos/SP,1.0,3.0
1,10/05/2003,16:00,Goiás/GO,Flamengo/RJ,1.0,1.0
1,10/05/2003,18:00,Corinthians/SP,Criciúma/SC,3.0,0.0
1,10/05/2003,16:00,Santos/SP,Cruzeiro/MG,0.0,2.0
1,10/05/2003,17:00,Paraná/PR,Ponte Preta/SP,3.0,2.0
1,11/05/2003,18:00,Grêmio/RS,Coritiba/PR,1.0,0.0
1,11/05/2003,18:00,Guarani/SP,Internacional/RS,3.0,0.0
